Rotation,ABMI Site,Year,Field Date,Field Crew Member(s),Identification Date,Identification Analyst,Point Count Station,Wind Conditions,Precipitation,Start of Point Count  (24 hour clock),End of Point Count (24-hr clock),Common Name,Scientific Name,Taxonomic Resolution,Unique Taxonomic Identification Number,Time First Detected (seconds),Interval 1 (0-200 seconds),Interval 2 (201-400 seconds),Interval 3 (401-600 seconds),Behaviour,Tally,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,1,0,None,6:16,DNC,White-winged Crossbill,Loxia leucoptera,Species,179268,0,1,1,0,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,1,0,None,6:16,DNC,Dark-eyed Junco,Junco hyemalis,Species,179410,30,1,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,1,0,None,6:16,DNC,White-winged Crossbill,Loxia leucoptera,Species,179268,470,0,0,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,1,0,None,6:16,DNC,White-winged Crossbill,Loxia leucoptera,Species,179268,110,1,0,0,Fly Over,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,1,0,None,6:16,DNC,White-winged Crossbill,Loxia leucoptera,Species,179268,220,0,1,0,Fly Over,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,1,0,None,6:16,DNC,Tennessee Warbler,Vermivora peregrina,Species,178855,0,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,1,0,None,6:16,DNC,Tennessee Warbler,Vermivora peregrina,Species,178855,30,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,1,0,None,6:16,DNC,Tennessee Warbler,Vermivora peregrina,Species,178855,330,0,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,1,0,None,6:16,DNC,Red Squirrel,Tamiasciurus hudsonicus,Species,180166,370,0,1,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,1,0,None,6:16,DNC,Chipping Sparrow,Spizella passerina,Species,179435,20,1,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,1,0,None,6:16,DNC,Olive-sided Flycatcher,Contopus cooperi,Species,554221,0,1,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,1,0,None,6:16,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,20,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,1,0,None,6:16,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,250,0,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,1,0,None,6:16,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,40,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,1,0,None,6:16,DNC,White-throated Sparrow,Zonotrichia albicollis,Species,179462,130,1,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,1,0,None,6:16,DNC,Ruby-crowned Kinglet,Regulus calendula,Species,179870,190,1,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,1,0,None,6:16,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,0,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,2,0,None,6:38,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,10,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,2,0,None,6:38,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,10,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,2,0,None,6:38,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,260,0,1,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,2,0,None,6:38,DNC,Western Tanager,Piranga ludoviciana,Species,179882,530,0,0,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,2,0,None,6:38,DNC,Olive-sided Flycatcher,Contopus cooperi,Species,554221,30,1,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,2,0,None,6:38,DNC,Yellow-rumped Warbler,Dendroica coronata,Species,178891,190,1,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,2,0,None,6:38,DNC,Yellow-rumped Warbler,Dendroica coronata,Species,178891,590,0,0,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,2,0,None,6:38,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,0,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,2,0,None,6:38,DNC,White-throated Sparrow,Zonotrichia albicollis,Species,179462,260,0,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,2,0,None,6:38,DNC,Gray Jay,Perisoreus canadensis,Species,179667,360,0,1,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,2,0,None,6:38,DNC,Gray Jay,Perisoreus canadensis,Species,179667,360,0,1,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,2,0,None,6:38,DNC,Gray Jay,Perisoreus canadensis,Species,179667,590,0,0,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,2,0,None,6:38,DNC,VNA,VNA,VNA,SNI,480,0,0,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,2,0,None,6:38,DNC,Chipping Sparrow,Spizella passerina,Species,179435,30,1,0,0,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,2,0,None,6:38,DNC,Red Squirrel,Tamiasciurus hudsonicus,Species,180166,100,1,0,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,2,0,None,6:38,DNC,Tennessee Warbler,Vermivora peregrina,Species,178855,20,1,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,2,0,None,6:38,DNC,Ovenbird,Seiurus aurocapilla,Species,726205,10,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,2,0,None,6:38,DNC,Ovenbird,Seiurus aurocapilla,Species,726205,90,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,2,0,None,6:38,DNC,Red-eyed Vireo,Vireo olivaceus,Species,179021,110,1,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,2,0,None,6:38,DNC,Ovenbird,Seiurus aurocapilla,Species,726205,0,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,3,0,None,7:00,DNC,Ovenbird,Seiurus aurocapilla,Species,726205,170,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,3,0,None,7:00,DNC,Ovenbird,Seiurus aurocapilla,Species,726205,20,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,3,0,None,7:00,DNC,Tennessee Warbler,Vermivora peregrina,Species,178855,0,1,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,3,0,None,7:00,DNC,Red Squirrel,Tamiasciurus hudsonicus,Species,180166,20,1,1,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,3,0,None,7:00,DNC,American Robin,Turdus migratorius,Species,179759,0,1,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,3,0,None,7:00,DNC,American Robin,Turdus migratorius,Species,179759,500,0,0,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,3,0,None,7:00,DNC,Black-capped Chickadee,Poecile atricapillus,Species,554382,30,1,1,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,3,0,None,7:00,DNC,Black-capped Chickadee,Poecile atricapillus,Species,554382,40,1,1,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,3,0,None,7:00,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,160,1,0,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,3,0,None,7:00,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,100,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,3,0,None,7:00,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,100,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,3,0,None,7:00,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,10,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,3,0,None,7:00,DNC,White-throated Sparrow,Zonotrichia albicollis,Species,179462,210,0,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,4,0,None,7:30,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,10,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,4,0,None,7:30,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,0,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,4,0,None,7:30,DNC,White-throated Sparrow,Zonotrichia albicollis,Species,179462,490,0,0,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,4,0,None,7:30,DNC,Olive-sided Flycatcher,Contopus cooperi,Species,554221,0,1,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,4,0,None,7:30,DNC,Ruby-crowned Kinglet,Regulus calendula,Species,179870,70,1,1,0,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,4,0,None,7:30,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,0,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,4,0,None,7:30,DNC,Gray Jay,Perisoreus canadensis,Species,179667,280,0,1,0,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,4,0,None,7:30,DNC,American Robin,Turdus migratorius,Species,179759,30,1,1,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,4,0,None,7:30,DNC,Gray Jay,Perisoreus canadensis,Species,179667,290,0,1,0,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,4,0,None,7:30,DNC,Red Squirrel,Tamiasciurus hudsonicus,Species,180166,50,1,1,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,4,0,None,7:30,DNC,Red Squirrel,Tamiasciurus hudsonicus,Species,180166,360,0,1,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,4,0,None,7:30,DNC,Red Squirrel,Tamiasciurus hudsonicus,Species,180166,400,0,0,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,4,0,None,7:30,DNC,Tennessee Warbler,Vermivora peregrina,Species,178855,0,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,4,0,None,7:30,DNC,Tennessee Warbler,Vermivora peregrina,Species,178855,570,0,0,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,4,0,None,7:30,DNC,Tennessee Warbler,Vermivora peregrina,Species,178855,180,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,4,0,None,7:30,DNC,Tennessee Warbler,Vermivora peregrina,Species,178855,0,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,4,0,None,7:30,DNC,Magnolia Warbler,Dendroica magnolia,Species,178886,10,1,1,0,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,4,0,None,7:30,DNC,Boreal Chickadee,Poecile hudsonica,Species,726112,530,0,0,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,5,0,None,7:55,DNC,Red-eyed Vireo,Vireo olivaceus,Species,179021,240,0,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,5,0,None,7:55,DNC,White-winged Crossbill,Loxia leucoptera,Species,179268,120,1,0,0,Fly Over,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,5,0,None,7:55,DNC,American Redstart,Setophaga ruticilla,Species,178979,0,1,1,1,Singing,VNA,
